T,current_cost,candidate_cost,probability,accepted,type,idx1,x1,z1,idx2,x2,z2
4000000,739,731,1,true,Move,1,11,11,,11,9
4000000,731,758,0.99999326,true,Move,0,2,0,,4,-4
4000000,758,778,0.999995,true,Swap,2,11,9,1,2,8
4000000,778,770,1,true,Move,3,5,1,,8,0
4000000,770,778.5,0.99999785,true,Move,1,2,8,,1,12
4000000,778.5,823,0.99998885,true,Move,4,7,13,,12,9
4000000,823,863.5,0.99998987,true,Move,1,1,12,,-3,17
4000000,863.5,825.5,1,true,Move,2,11,9,,9,9
4000000,825.5,797,1,true,Move,1,-3,17,,2,15
4000000,797,785,1,true,Swap,2,4,-4,0,9,9
4000000,785,778,1,true,Move,4,12,9,,7,8
4000000,778,778,1,true,Swap,0,7,8,4,9,9
4000000,778,807,0.9999927,true,Move,3,8,0,,11,-5
4000000,807,766.5,1,true,Move,4,9,9,,5,4
4000000,766.5,812.5,0.9999885,true,Move,4,5,4,,6,9
4000000,812.5,824.5,0.999997,true,Swap,4,2,15,1,6,9
4000000,824.5,861.5,0.99999076,true,Move,2,4,-4,,5,-8
4000000,861.5,903.5,0.9999895,true,Move,3,11,-5,,8,-8
4000000,903.5,893.5,1,true,Move,1,6,9,,7,6
4000000,893.5,866.5,1,true,Move,0,7,8,,8,3
4000000,866.5,874,0.99999815,true,Swap,3,5,-8,2,8,-8
4000000,874,839,1,true,Move,2,8,-8,,13,-3
4000000,839,827,1,true,Move,4,2,15,,7,14
4000000,827,848,0.99999475,true,Move,4,7,14,,11,18
4000000,848,860,0.999997,true,Swap,4,8,3,0,11,18
4000000,860,861,0.99999976,true,Move,3,5,-8,,8,-3
4000000,861,881,0.999995,true,Move,3,8,-3,,10,1
4000000,881,863,1,true,Move,0,11,18,,10,15
4000000,863,858,1,true,Move,0,10,15,,11,10
4000000,858,855.5,1,true,Move,0,11,10,,15,7
4000000,855.5,846.5,1,true,Move,2,13,-3,,15,-2
4000000,846.5,828,1,true,Move,1,7,6,,9,9
4000000,828,851.5,0.9999941,true,Move,4,8,3,,9,1
4000000,851.5,879,0.99999315,true,Move,4,9,1,,14,-1
4000000,879,858.5,1,true,Move,4,14,-1,,10,4
4000000,858.5,948.5,0.9999775,true,Move,2,15,-2,,11,2
4000000,948.5,911,1,true,Move,4,10,4,,13,8
4000000,911,901,1,true,Move,0,15,7,,14,2
4000000,901,861,1,true,Move,2,11,2,,15,-2
4000000,861,875,0.9999965,true,Move,1,9,9,,8,4
4000000,875,899,0.999994,true,Move,0,14,2,,11,3
4000000,899,970,0.99998224,true,Move,2,15,-2,,13,3
4000000,970,926,1,true,Move,4,13,8,,10,11
4000000,926,929,0.9999992,true,Move,3,10,1,,11,6
4000000,929,941,0.999997,true,Swap,0,10,11,4,11,3
4000000,941,943,0.9999995,true,Swap,4,13,3,2,11,3
4000000,943,918,1,true,Swap,2,8,4,1,11,3
4000000,918,906,1,true,Swap,3,10,11,0,11,6
4000000,906,898.5,1,true,Swap,0,8,4,2,11,6
4000000,898.5,913.5,0.99999624,true,Move,4,13,3,,8,8
3200000,913.5,934.5,0.99999344,true,Move,4,8,8,,12,6
3200000,934.5,886.5,1,true,Move,2,11,6,,8,2
3200000,886.5,920.5,0.9999894,true,Move,4,12,6,,7,1
3200000,920.5,965.5,0.99998593,true,Move,1,11,3,,9,5
3200000,965.5,1003,0.99998826,true,Swap,2,10,11,3,8,2
3200000,1003,944,1,true,Move,1,9,5,,12,2
3200000,944,948,0.99999875,true,Swap,3,7,1,4,8,2
3200000,948,891,1,true,Move,0,8,4,,5,1
3200000,891,828.5,1,true,Move,4,8,2,,4,5
3200000,828.5,796,1,true,Swap,2,12,2,1,10,11
3200000,796,774,1,true,Swap,3,10,11,1,7,1
3200000,774,778.5,0.99999857,true,Move,1,7,1,,7,2
3200000,778.5,818.5,0.9999875,true,Move,0,5,1,,8,2
3200000,818.5,824.5,0.99999815,true,Move,2,12,2,,16,7
3200000,824.5,793,1,true,Move,0,8,2,,6,-1
3200000,793,786.5,1,true,Move,1,7,2,,4,-2
3200000,786.5,784.5,1,true,Swap,3,4,5,4,10,11
3200000,784.5,786.5,0.9999994,true,Swap,4,4,5,3,10,11
3200000,786.5,790.5,0.99999875,true,Move,2,16,7,,20,2
3200000,790.5,793.5,0.99999905,true,Move,3,10,11,,15,10
3200000,793.5,805,0.9999964,true,Move,1,4,-2,,5,2
3200000,805,860.5,0.99998266,true,Move,4,4,5,,4,0
3200000,860.5,829,1,true,Move,1,5,2,,1,-1
3200000,829,797,1,true,Move,2,20,2,,15,0
3200000,797,795,1,true,Move,3,15,10,,15,8
3200000,795,798.5,0.9999989,true,Swap,4,15,0,2,4,0
3200000,798.5,818,0.9999939,true,Swap,3,4,0,2,15,8
3200000,818,804.5,1,true,Move,0,6,-1,,7,-3
3200000,804.5,852.5,0.999985,true,Move,2,15,8,,18,13
3200000,852.5,863.5,0.99999654,true,Move,0,7,-3,,7,-7
3200000,863.5,890.5,0.99999154,true,Move,4,15,0,,20,-3
3200000,890.5,913.5,0.9999928,true,Move,0,7,-7,,4,-12
3200000,913.5,919.5,0.99999815,true,Swap,3,4,-12,0,4,0
3200000,919.5,914.5,1,true,Move,1,1,-1,,-1,-1
3200000,914.5,860,1,true,Swap,1,18,13,2,-1,-1
3200000,860,845,1,true,Swap,3,-1,-1,2,4,-12
3200000,845,884,0.99998784,true,Move,3,-1,-1,,2,-6
3200000,884,884,1,true,Move,1,18,13,,18,13
3200000,884,887,0.99999905,true,Move,1,18,13,,17,14
3200000,887,870.5,1,true,Move,4,20,-3,,20,0
3200000,870.5,872.5,0.9999994,true,Move,3,2,-6,,7,-5
3200000,872.5,907.5,0.9999891,true,Swap,4,7,-5,3,20,0
3200000,907.5,888,1,true,Move,4,7,-5,,11,-4
3200000,888,918,0.99999064,true,Move,2,4,-12,,6,-15
3200000,918,937.5,0.9999939,true,Move,3,20,0,,16,-5
3200000,937.5,961.5,0.9999925,true,Swap,0,17,14,1,4,0
3200000,961.5,951,1,true,Move,3,16,-5,,15,-3
3200000,951,971,0.99999374,true,Move,2,6,-15,,7,-17
3200000,971,965,1,true,Move,3,15,-3,,11,-1
3200000,965,955,1,true,Move,2,7,-17,,3,-16
2560000,955,956.5,0.9999994,true,Swap,3,3,-16,2,11,-1
2560000,956.5,938.5,1,true,Move,0,17,14,,13,14
2560000,938.5,964,0.99999005,true,Swap,2,13,14,0,11,-1
2560000,964,982,0.99999297,true,Move,1,4,0,,3,5
2560000,982,951.5,1,true,Move,0,11,-1,,14,3
2560000,951.5,936.5,1,true,Swap,2,14,3,0,13,14
2560000,936.5,927.5,1,true,Move,0,13,14,,13,12
2560000,927.5,927.5,1,true,Move,4,11,-4,,8,-5
2560000,927.5,933.5,0.9999977,true,Move,1,3,5,,4,10
2560000,933.5,979,0.99998224,true,Move,3,3,-16,,5,-21
2560000,979,959.5,1,true,Swap,3,14,3,2,5,-21
2560000,959.5,972,0.9999951,true,Move,1,4,10,,9,8
2560000,972,1003.5,0.9999877,true,Move,0,13,12,,17,17
2560000,1003.5,1026,0.99999124,true,Swap,1,5,-21,2,9,8
2560000,1026,994,1,true,Swap,0,14,3,3,17,17
2560000,994,978.5,1,true,Move,1,5,-21,,10,-19
2560000,978.5,985.5,0.99999726,true,Move,0,14,3,,15,4
2560000,985.5,1012.5,0.99998945,true,Move,3,17,17,,19,21
2560000,1012.5,1033.5,0.9999918,true,Move,4,8,-5,,5,-8
2560000,1033.5,1015.5,1,true,Move,3,19,21,,19,17
2560000,1015.5,1015.5,1,true,Swap,4,19,17,3,5,-8
2560000,1015.5,1018.5,0.9999988,true,Move,3,5,-8,,7,-8
2560000,1018.5,1049,0.9999881,true,Move,3,7,-8,,12,-10
2560000,1049,1075.5,0.9999896,true,Move,0,15,4,,15,9
2560000,1075.5,1051.5,1,true,Swap,4,12,-10,3,19,17
2560000,1051.5,1063.5,0.9999953,true,Swap,3,15,9,0,19,17
2560000,1063.5,1073.5,0.99999607,true,Move,1,10,-19,,13,-20
2560000,1073.5,1048,1,true,Move,1,13,-20,,18,-16
2560000,1048,1033,1,true,Move,4,12,-10,,10,-8
2560000,1033,1084,0.9999801,true,Move,4,10,-8,,15,-13
2560000,1084,1085.5,0.9999994,true,Swap,3,9,8,2,15,9
2560000,1085.5,1122.5,0.9999856,true,Move,2,15,9,,20,10
2560000,1122.5,1104.5,1,true,Move,2,20,10,,16,11
2560000,1104.5,1117.5,0.99999493,true,Move,1,18,-16,,17,-19
2560000,1117.5,1110.5,1,true,Swap,1,15,-13,4,17,-19
2560000,1110.5,1094.5,1,true,Move,2,16,11,,12,7
2560000,1094.5,1095.5,0.9999996,true,Swap,1,17,-19,4,15,-13
2560000,1095.5,1071,1,true,Move,3,9,8,,5,13
2560000,1071,1084.5,0.99999475,true,Move,0,19,17,,23,16
2560000,1084.5,1147.5,0.9999754,true,Swap,4,5,13,3,15,-13
2560000,1147.5,1148,0.9999998,true,Move,3,15,-13,,13,-14
2560000,1148,1163,0.99999416,true,Move,4,5,13,,10,18
2560000,1163,1164.5,0.9999994,true,Move,4,10,18,,9,18
2560000,1164.5,1129.5,1,true,Move,3,13,-14,,16,-9
2560000,1129.5,1138.5,0.9999965,true,Move,0,23,16,,23,18
2560000,1138.5,1159.5,0.9999918,true,Swap,2,9,18,4,12,7
2560000,1159.5,1131.5,1,true,Move,2,9,18,,6,13
2560000,1131.5,1134.5,0.9999988,true,Move,1,17,-19,,19,-19
2560000,1134.5,1142,0.9999971,true,Move,4,12,7,,11,9
2560000,1142,1198,0.9999781,true,Move,4,11,9,,7,13
2048000,1198,1240,0.9999795,true,Swap,2,23,18,0,6,13
2048000,1240,1174,1,true,Swap,3,6,13,0,16,-9
2048000,1174,1141.5,1,true,Move,3,6,13,,11,13
2048000,1141.5,1147.5,0.9999971,true,Move,2,23,18,,25,17
2048000,1147.5,1146,1,true,Move,3,11,13,,6,17
2048000,1146,1155.5,0.99999535,true,Move,0,16,-9,,15,-11
2048000,1155.5,1186,0.9999851,true,Move,1,19,-19,,22,-21
2048000,1186,1160,1,true,Move,3,6,17,,1,20
2048000,1160,1143,1,true,Move,0,15,-11,,11,-9
2048000,1143,1175,0.9999844,true,Swap,4,22,-21,1,7,13
2048000,1175,1209.5,0.99998313,true,Swap,3,25,17,2,1,20
2048000,1209.5,1201.5,1,true,Move,2,1,20,,-4,16
2048000,1201.5,1188,1,true,Move,1,7,13,,10,11
2048000,1188,1212,0.99998826,true,Move,2,-4,16,,-4,20
2048000,1212,1199.5,1,true,Move,4,22,-21,,23,-19
2048000,1199.5,1230,0.9999851,true,Move,0,11,-9,,14,-11
2048000,1230,1257,0.9999868,true,Swap,0,25,17,3,14,-11
2048000,1257,1209,1,true,Swap,1,25,17,0,10,11
2048000,1209,1206,1,true,Move,0,10,11,,13,6
2048000,1206,1161,1,true,Swap,3,25,17,1,14,-11
2048000,1161,1161,1,true,Move,2,-4,20,,-4,20
2048000,1161,1138,1,true,Move,1,14,-11,,17,-6
2048000,1138,1147,0.9999956,true,Move,0,13,6,,13,8
2048000,1147,1164,0.9999917,true,Move,4,23,-19,,23,-21
2048000,1164,1141,1,true,Move,1,17,-6,,18,-1
2048000,1141,1138.5,1,true,Move,1,18,-1,,17,1
2048000,1138.5,1114.5,1,true,Swap,4,13,8,0,23,-21
2048000,1114.5,1117.5,0.9999985,true,Swap,0,17,1,1,23,-21
2048000,1117.5,1113.5,1,true,Move,2,-4,20,,-6,17
2048000,1113.5,1106,1,true,Move,4,13,8,,10,8
2048000,1106,1104.5,1,true,Swap,2,25,17,3,-6,17
2048000,1104.5,1106,0.9999993,true,Swap,2,-6,17,3,25,17
2048000,1106,1106,1,true,Swap,0,23,-21,1,17,1
2048000,1106,1130,0.99998826,true,Move,3,25,17,,30,18
2048000,1130,1131.5,0.9999993,true,Move,4,10,8,,8,11
2048000,1131.5,1191.5,0.9999707,true,Swap,0,30,18,3,23,-21
2048000,1191.5,1229.5,0.99998146,true,Move,3,23,-21,,22,-26
2048000,1229.5,1231,0.9999993,true,Move,4,8,11,,5,15
2048000,1231,1216,1,true,Swap,3,17,1,1,22,-26
2048000,1216,1220.5,0.9999978,true,Swap,2,5,15,4,-6,17
2048000,1220.5,1249.5,0.9999858,true,Move,4,-6,17,,-8,21
2048000,1249.5,1249.5,1,true,Move,0,30,18,,35,13
2048000,1249.5,1202.5,1,true,Move,1,22,-26,,19,-21
2048000,1202.5,1259,0.9999724,true,Move,4,-8,21,,-12,26
2048000,1259,1263.5,0.9999978,true,Move,3,17,1,,19,4
2048000,1263.5,1255,1,true,Move,1,19,-21,,19,-20
2048000,1255,1268,0.9999937,true,Move,4,-12,26,,-13,27
2048000,1268,1239.5,1,true,Move,1,19,-20,,17,-17
2048000,1239.5,1164.5,1,true,Swap,3,-13,27,4,19,4
2048000,1164.5,1142,1,true,Move,1,17,-17,,15,-14
1638400,1142,1136,1,true,Move,2,5,15,,2,16
1638400,1136,1148,0.99999267,true,Move,4,19,4,,20,9
1638400,1148,1154,0.99999636,true,Move,2,2,16,,7,13
1638400,1154,1197.5,0.9999735,true,Swap,4,7,13,2,20,9
1638400,1197.5,1195,1,true,Move,1,15,-14,,19,-13
1638400,1195,1204,0.9999945,true,Move,3,-13,27,,-13,29
1638400,1204,1205.5,0.9999991,true,Move,4,7,13,,5,12
1638400,1205.5,1252.5,0.99997133,true,Move,1,19,-13,,22,-18
1638400,1252.5,1213.5,1,true,Swap,0,22,-18,1,35,13
1638400,1213.5,1229.5,0.9999902,true,Move,3,-13,29,,-17,25
1638400,1229.5,1267,0.9999771,true,Swap,1,20,9,2,35,13
1638400,1267,1262.5,1,true,Move,1,20,9,,19,7
1638400,1262.5,1259.5,1,true,Move,2,35,13,,34,14
1638400,1259.5,1262.5,0.99999815,true,Swap,1,5,12,4,19,7
1638400,1262.5,1244.5,1,true,Swap,0,-17,25,3,22,-18
1638400,1244.5,1240,1,true,Move,3,22,-18,,19,-18
1638400,1240,1249,0.9999945,true,Swap,3,-17,25,0,19,-18
1638400,1249,1234,1,true,Swap,0,5,12,1,19,-18
1638400,1234,1231,1,true,Move,2,34,14,,32,17
1638400,1231,1238.5,0.9999954,true,Move,4,19,7,,21,12
1638400,1238.5,1214.5,1,true,Move,2,32,17,,30,13
1638400,1214.5,1205.5,1,true,Move,2,30,13,,25,12
1638400,1205.5,1211.5,0.99999636,true,Swap,3,19,-18,1,-17,25
1638400,1211.5,1228.5,0.9999896,true,Move,4,21,12,,23,14
1638400,1228.5,1212,1,true,Move,0,5,12,,1,13
1638400,1212,1218,0.99999636,true,Move,4,23,14,,28,13
1638400,1218,1263,0.9999725,true,Swap,3,28,13,4,19,-18
1638400,1263,1243,1,true,Move,2,25,12,,21,16
1638400,1243,1253.5,0.99999356,true,Move,3,28,13,,31,11
1638400,1253.5,1296.5,0.9999738,true,Move,1,-17,25,,-21,27
1638400,1296.5,1334.5,0.9999768,true,Move,4,19,-18,,16,-23
1638400,1334.5,1360,0.99998444,true,Move,1,-21,27,,-24,27
1638400,1360,1331,1,true,Move,1,-24,27,,-19,30
1638400,1331,1346,0.9999908,true,Move,3,31,11,,34,12
1638400,1346,1339,1,true,Move,4,16,-23,,17,-22
1638400,1339,1338.5,1,true,Move,0,1,13,,-1,16
1638400,1338.5,1296,1,true,Move,4,17,-22,,17,-17
1638400,1296,1293,1,true,Move,1,-19,30,,-16,35
1638400,1293,1322,0.9999823,true,Move,1,-16,35,,-21,32
1638400,1322,1272,1,true,Move,4,17,-17,,12,-12
1638400,1272,1241,1,true,Move,4,12,-12,,14,-8
1638400,1241,1229,1,true,Move,3,34,12,,31,13
1638400,1229,1257.5,0.9999826,true,Move,3,31,13,,36,17
1638400,1257.5,1284.5,0.99998355,true,Move,3,36,17,,39,22
1638400,1284.5,1270.5,1,true,Move,4,14,-8,,16,-6
1638400,1270.5,1291.5,0.9999872,true,Move,2,21,16,,26,18
1638400,1291.5,1331.5,0.99997556,true,Move,4,16,-6,,20,-10
1638400,1331.5,1340,0.9999948,true,Move,0,-1,16,,-5,21
1638400,1340,1433,0.99994326,true,Swap,3,-5,21,0,39,22
1638400,1433,1484.5,0.9999686,true,Move,1,-21,32,,-26,34
1310720,1484.5,1460.5,1,true,Move,2,26,18,,22,18
1310720,1460.5,1427.5,1,true,Move,2,22,18,,19,14
1310720,1427.5,1400,1,true,Move,3,-5,21,,0,17
1310720,1400,1340,1,true,Swap,1,39,22,0,-26,34
1310720,1340,1354.5,0.9999889,true,Move,4,20,-10,,16,-11
1310720,1354.5,1354.5,1,true,Move,2,19,14,,17,16
1310720,1354.5,1375.5,0.99998397,true,Swap,3,17,16,2,0,17
1310720,1375.5,1387.5,0.9999908,true,Move,1,39,22,,42,21
1310720,1387.5,1377,1,true,Move,1,42,21,,41,17
1310720,1377,1357.5,1,true,Move,1,41,17,,37,16
1310720,1357.5,1392.5,0.9999733,true,Move,0,-26,34,,-28,38
1310720,1392.5,1418,0.99998057,true,Move,4,16,-11,,16,-14
1310720,1418,1419,0.9999992,true,Move,4,16,-14,,11,-15
1310720,1419,1356,1,true,Swap,4,17,16,3,11,-15
1310720,1356,1356,1,true,Move,2,0,17,,-3,15
1310720,1356,1374,0.9999863,true,Move,2,-3,15,,0,20
1310720,1374,1417.5,0.9999668,true,Move,0,-28,38,,-31,42
1310720,1417.5,1405.5,1,true,Move,2,0,20,,5,18
1310720,1405.5,1401,1,true,Move,4,17,16,,12,18
1310720,1401,1419,0.9999863,true,Move,2,5,18,,2,21
1310720,1419,1443,0.9999817,true,Move,2,2,21,,2,25
1310720,1443,1413.5,1,true,Move,0,-31,42,,-27,43
1310720,1413.5,1415,0.99999887,true,Move,1,37,16,,38,18
1310720,1415,1401.5,1,true,Move,1,38,18,,34,15
1310720,1401.5,1317.5,1,true,Swap,3,-27,43,0,11,-15
1310720,1317.5,1406,0.99993247,true,Swap,2,-27,43,3,2,25
1310720,1406,1466,0.9999542,true,Swap,4,11,-15,0,12,18
1310720,1466,1535,0.99994737,true,Swap,3,34,15,1,2,25
1310720,1535,1587,0.9999603,true,Move,4,11,-15,,15,-19
1310720,1587,1495.5,1,true,Swap,2,34,15,3,-27,43
1310720,1495.5,1462.5,1,true,Move,4,15,-19,,10,-16
1310720,1462.5,1474.5,0.9999908,true,Move,1,2,25,,0,27
1310720,1474.5,1429.5,1,true,Swap,3,12,18,0,-27,43
1310720,1429.5,1420.5,1,true,Move,3,12,18,,9,15
1310720,1420.5,1423.5,0.99999774,true,Move,4,10,-16,,12,-16
1310720,1423.5,1429.5,0.9999954,true,Move,3,9,15,,12,16
1310720,1429.5,1418,1,true,Move,4,12,-16,,10,-15
1310720,1418,1403,1,true,Swap,0,10,-15,4,-27,43
1310720,1403,1397,1,true,Move,3,12,16,,7,17
1310720,1397,1403,0.9999954,true,Move,3,7,17,,11,17
1310720,1403,1401.5,1,true,Move,3,11,17,,15,12
1310720,1401.5,1409,0.9999943,true,Move,1,0,27,,4,28
1310720,1409,1494.5,0.9999348,true,Swap,4,34,15,2,-27,43
1310720,1494.5,1490,1,true,Move,4,34,15,,32,12
1310720,1490,1433,1,true,Swap,4,4,28,1,32,12
1310720,1433,1523,0.99993134,true,Swap,0,4,28,4,10,-15
1310720,1523,1449.5,1,true,Swap,2,10,-15,4,-27,43
1310720,1449.5,1466,0.9999874,true,Swap,1,10,-15,2,32,12
1310720,1466,1423,1,true,Move,1,10,-15,,8,-11
